fund_code,fund_name,latest_net_value,latest_total_value,history_net_value,history_total_value,daily_growth_value,daily_growth_rate,latest_date,history_date,update_time
022174,海富通沪港深混合D,1.6322,1.6322,1.6242,1.6242,0.0080,0.49,2025-08-12,2025-08-12,2025-08-12 14:58:19
022175,富国宝利增强债券E,1.3687,1.3687,1.3671,1.3671,0.0016,0.12,2025-08-12,2025-08-12,2025-08-12 14:58:19
022176,国泰利享中短债债券F,1.2049,1.2049,1.2046,1.2046,0.0003,0.02,2025-04-06,2025-04-06,2025-04-06 17:24:22
022177,东财消费电子指数增强E,0.9356,0.9356,0.9132,0.9132,0.0224,2.45,2025-08-12,2025-08-12,2025-08-12 14:58:18
022178,东财食品饮料指数增强E,0.6101,0.6101,0.6034,0.6034,0.0067,1.11,2025-08-12,2025-08-12,2025-08-12 14:58:18
022179,新沃中债0-3年政策性金融债指数A,1.0042,1.0042,1.0029,1.0029,0.0013,0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
022180,新沃中债0-3年政策性金融债指数C,0.9540,0.9540,0.9528,0.9528,0.0012,0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
022181,财通资管睿安债券E,1.0266,1.0724,1.0199,1.0657,0.0067,0.66,2025-04-06,2025-04-06,2025-04-06 00:36:37
022182,招商智星稳健配置混合(FOF-LOF)D,0.9981,0.9981,0.9979,0.9979,0.0002,0.02,2025-04-06,2025-04-06,2025-04-06 17:24:22
022183,万家玖盛D,1.0287,1.0496,1.0255,1.0464,0.0032,0.31,2025-04-06,2025-04-06,2025-04-06 00:36:37
022184,富国全球科技互联网股票(QDII)C,3.2230,3.2230,3.1937,3.1937,0.0293,0.92,2025-08-12,2025-08-12,2025-08-12 14:58:18
022185,鹏华中债1-3年国开行债券指数D,1.0144,1.0163,1.0127,1.0146,0.0017,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
022186,鹏华中债1-3年农发行债券指数D,1.2853,1.3172,1.2816,1.3135,0.0037,0.29,2025-04-06,2025-04-06,2025-04-06 00:36:37
022187,宝盈盈泰纯债债券E,1.1437,1.1437,1.1416,1.1416,0.0021,0.18,2025-04-06,2025-04-06,2025-04-06 17:24:22
022188,鹏华丰泽债券(LOF)A,1.0196,1.0196,1.0183,1.0183,0.0013,0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
022189,鹏华金城混合A,1.0836,1.0836,1.0797,1.0797,0.0039,0.36,2025-08-12,2025-08-12,2025-08-12 14:58:19
022190,鹏华金城混合C,1.0815,1.0815,1.0777,1.0777,0.0038,0.35,2025-08-12,2025-08-12,2025-08-12 14:58:19
022191,华宝稳健优选三个月持有混合(FOF)A,1.0009,1.0009,1.0006,1.0006,0.0003,0.03,2025-04-06,2025-04-06,2025-04-06 17:24:22
022192,华宝稳健优选三个月持有混合(FOF)C,1.0005,1.0005,1.0002,1.0002,0.0003,0.03,2025-04-06,2025-04-06,2025-04-06 17:24:22
022193,鹏华安诚混合D,1.0225,1.0225,1.0204,1.0204,0.0021,0.21,2025-04-06,2025-04-06,2025-04-06 17:24:22
022194,鹏华安诚混合E,1.0237,1.0237,1.0215,1.0215,0.0022,0.22,2025-04-06,2025-04-06,2025-04-06 17:24:22
022195,汇丰晋信景气优选混合A,1.0654,1.0654,1.0574,1.0574,0.0080,0.76,2025-08-12,2025-08-12,2025-08-12 14:58:18
022196,汇丰晋信景气优选混合C,1.0643,1.0643,1.0563,1.0563,0.0080,0.76,2025-08-12,2025-08-12,2025-08-12 14:58:18
022197,华富鼎信3个月持有期债券(FOF)A,0.9975,0.9975,0.9971,0.9971,0.0004,0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
022198,华富鼎信3个月持有期债券(FOF)C,0.9971,0.9971,0.9967,0.9967,0.0004,0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
022199,金鹰稳利配置三个月持有债券发起(FOF)A,1.0007,1.0007,1.0006,1.0006,0.0001,0.01,2025-04-06,2025-04-06,2025-04-06 17:24:22
022200,金鹰稳利配置三个月持有债券发起(FOF)C,1.0002,1.0002,1.0000,1.0000,0.0002,0.02,2025-04-06,2025-04-06,2025-04-06 17:24:22
022201,国泰利安中短债债券F,1.0676,1.0676,1.0674,1.0674,0.0002,0.02,2025-04-06,2025-04-06,2025-04-06 17:24:22
022204,永赢中证A50指数增强发起A,1.0966,1.0966,1.0923,1.0923,0.0043,0.39,2025-08-12,2025-08-12,2025-08-12 14:58:19
